time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
872,872,departure,0,2,1,idle
873,873,arrival,1,0,0,working
874,874,arrival,4,7,0,idle
875,875,arrival,4,0,0,idle
876,876,arrival,4,1,1,idle
877,877,departure,2,5,0,idle
878,878,arrival,0,6,0,working
879,879,arrival,2,8,1,idle
880,880,departure,2,8,0,idle
881,881,arrival,3,9,1,working
882,882,arrival,1,5,0,working
883,883,arrival,0,7,1,idle
884,884,departure,1,5,1,working
885,885,departure,2,7,0,idle
886,886,departure,3,6,1,working
887,887,arrival,1,9,0,working
888,888,departure,4,3,1,idle
889,889,departure,3,1,1,idle
890,890,arrival,3,6,1,idle
891,891,departure,2,6,0,working
892,892,departure,0,3,0,working
893,893,arrival,0,9,0,working
894,894,arrival,1,1,1,idle
895,895,departure,3,1,1,working
896,896,departure,4,2,1,working
897,897,arrival,0,1,1,working
898,898,departure,3,6,1,working
899,899,arrival,2,8,1,idle
900,900,arrival,0,7,0,idle
901,901,departure,4,9,1,idle
902,902,departure,0,5,1,working
903,903,arrival,1,2,0,idle
904,904,arrival,3,0,0,working
905,905,arrival,0,7,1,idle
906,906,departure,0,1,0,working
907,907,arrival,3,7,0,working
908,908,departure,3,6,1,idle
909,909,departure,4,2,0,working
910,910,arrival,1,1,1,idle
911,911,departure,4,7,0,working
912,912,departure,1,1,1,idle
913,913,departure,0,2,0,working
914,914,departure,3,0,1,idle
915,915,departure,3,9,0,working
916,916,arrival,3,4,0,working
917,917,arrival,0,6,0,idle
918,918,departure,0,6,0,working
919,919,departure,2,5,1,idle
920,920,arrival,4,1,1,idle
921,921,arrival,3,8,1,idle
922,922,departure,2,6,0,working
923,923,arrival,4,5,1,working
924,924,arrival,2,4,0,working
925,925,arrival,4,5,0,idle
926,926,departure,2,1,0,idle
927,927,departure,4,0,1,idle
928,928,arrival,1,4,1,working
929,929,arrival,3,6,0,working
930,930,arrival,2,3,1,working
931,931,departure,0,4,1,working
932,932,arrival,4,8,0,idle
933,933,arrival,1,6,0,working
934,934,departure,2,7,1,idle
935,935,arrival,2,3,1,working
936,936,departure,2,4,1,idle
937,937,departure,0,2,0,idle
938,938,departure,3,3,0,idle
939,939,arrival,0,1,0,idle
940,940,arrival,2,6,0,idle
941,941,departure,3,8,1,idle
942,942,arrival,3,0,0,idle
943,943,arrival,4,5,1,working
944,944,departure,3,6,0,working
945,945,departure,1,3,0,working
946,946,departure,3,0,1,idle
947,947,arrival,4,0,0,working
948,948,departure,4,2,1,idle
949,949,departure,2,0,1,idle
950,950,arrival,0,0,0,idle
951,951,departure,1,8,0,idle
952,952,arrival,1,4,1,idle
953,953,departure,2,2,1,idle
954,954,departure,2,3,0,working
955,955,departure,0,1,1,idle
956,956,arrival,3,6,0,working
957,957,arrival,2,4,1,working
958,958,departure,3,8,1,working
959,959,arrival,2,0,1,idle
960,960,departure,3,6,1,working
961,961,departure,1,0,1,working
962,962,arrival,3,9,1,idle
963,963,arrival,3,8,1,idle
964,964,departure,4,8,1,working
965,965,arrival,0,4,0,idle
966,966,departure,4,8,0,working
967,967,departure,3,6,1,idle
968,968,arrival,4,5,1,working
969,969,arrival,3,9,1,working
970,970,arrival,1,3,0,idle
971,971,departure,4,4,0,working
972,972,arrival,1,3,0,working
973,973,departure,0,2,0,working
974,974,arrival,3,1,0,idle
975,975,departure,2,1,1,working
976,976,departure,1,7,1,working
977,977,arrival,1,6,1,idle
978,978,departure,1,5,0,idle
979,979,departure,4,2,1,idle
980,980,departure,3,8,1,working
981,981,arrival,1,1,1,idle
982,982,arrival,1,7,1,working
983,983,departure,2,6,0,idle
984,984,arrival,4,5,0,working
985,985,arrival,2,8,0,idle
986,986,arrival,1,6,0,idle
987,987,arrival,3,6,0,working
988,988,arrival,2,0,0,idle
989,989,departure,2,8,1,working
990,990,arrival,4,4,0,idle
991,991,departure,0,5,1,working
992,992,departure,4,8,1,working
993,993,arrival,3,9,0,idle
994,994,arrival,0,1,0,idle
995,995,arrival,3,3,0,idle
996,996,arrival,0,6,0,idle
997,997,arrival,2,4,0,idle
998,998,arrival,3,5,0,idle
999,999,arrival,2,2,1,working
1000,1000,departure,2,2,0,idle
